KIC			Dnu			nu_max			Dpi1		dnurot,core			sigma			number of components
			(muHz)			(muHz)			(s)		 (nHz)				 (nHz)

005110453		14.86			181.71			85.60		290.0				5.82				3
005111718		10.59			136.07			88.30		405.0				5.01				2
005112072		10.08			125.26			92.10		320.0				8.87				3
005113441		11.75			154.72			89.20		0.0				8.13				1
005129236		13.93			177.60			84.20		340.0				9.58				2
005168382		16.98			212.73			89.30		480.0				3.64				3
005172427		14.59			184.86			85.80		270.0				3.54				2
005176520		12.83			152.63			82.00		300.0				3.27				2
005197031		13.85			168.91			83.50		425.0				6.87				3
005199978		14.62			180.66			85.20		0.0				3.36				1
005206349		9.86			104.66			75.90		315.0				4.50				2
005208343		11.01			125.45			79.50		0.0				9.09				1
005214140		8.64			88.94			74.50		370.0				3.70				2
005215099		7.12			77.84			70.00		190.0				8.73				2
005215820		7.72			85.54			70.70		0.0				4.00				1
005252534		13.95			169.96			84.40		335.0				6.76				3
005254812		8.50			90.09			73.60		380.0				6.46				3
005255835		7.85			77.40			75.70		170.0				8.77				3
005266369		8.07			84.32			72.70		0.0				7.13				1
005284948		12.62			154.76			80.80		450.0				6.35				3
005285490		7.65			87.58			73.70		0.0				7.71				1
005290047		10.31			120.05			76.10		0.0				1.50				1
005295846		14.54			184.27			83.50		0.0				2.17				1
005305945		9.40			100.14			76.20		0.0				1.61				1
005306751		8.77			89.91			74.30		400.0				5.21				2
005308777		7.78			85.79			70.40		465.0				5.69				2
005340189		14.68			188.88			83.70		205.0				6.25				2
005340720		8.98			95.13			74.90		225.0				5.25				2
005341131		5.64			60.05			85.90		420.0				7.00				3
005341746		15.09			193.51			84.40		330.0				8.48				2
005343454		10.05			116.41			75.60		605.0				4.84				2
005345094		12.14			149.32			79.90		0.0				3.53				1
005350163		6.71			75.14			72.10		0.0				5.89				1
005356201		15.86			207.60			85.60		445.0				4.90				3
005364240		6.80			70.17			68.80		0.0				4.00				1
005370902		10.15			120.01			74.80		460.0				9.29				2
005371124		17.54			215.40			90.20		585.0				9.92				2
005371756		10.08			117.30			75.40		0.0				2.30				1
005372224		10.28			122.26			76.10		0.0				3.59				1
005377341		12.13			145.19			81.10		285.0				5.57				3
005377645		16.91			224.50			86.10		0.0				7.74				1
005380775		5.97			65.03			78.10		490.0				8.01				2
005384777		16.26			207.88			88.00		240.0				0.58				3
005385518		5.31			56.66			80.50		425.0				5.83				2
005389263		12.85			153.99			82.70		0.0				12.78				1
005390372		13.91			169.68			83.70		290.0				5.50				3
005428360		8.66			95.91			74.20		335.0				5.60				2
005429842		15.04			190.38			85.82		760.0				9.82				3
005440198		11.38			136.42			78.80		305.0				2.09				3
005450937		8.06			84.11			72.80		300.0				6.90				3
005457703		10.43			118.00			78.30		0.0				9.73				1
005461779		10.13			115.96			78.20		375.0				4.50				3
005461921		8.20			83.98			73.40		320.0				7.83				3
005470218		13.65			168.83			82.70		365.0				4.68				3
005513434		10.38			130.84			80.70		0.0				8.87				1
005513771		14.39			173.42			84.70		0.0				7.34				1
005514689		14.06			166.46			84.10		0.0				1.43				1
005521181		7.53			79.36			70.97		140.0				7.51				2
005522071		9.76			115.19			75.00		0.0				4.13				1
005522575		9.93			115.41			74.50		260.0				5.33				3
005530598		8.72			103.93			76.00		360.0				4.91				2
